access_id,access_type,source_osm_id,source_osm_element,name,district_name,nearest_entrance_distance_m,fallback_reason,x_m,y_m,snap_edge_index,snap_edge_fraction,off_network_connector_m,snap_cost_to_edge_u_m,snap_cost_to_edge_v_m,snapped_x_m,snapped_y_m,snapped_into_edge_interior
entrance:1775848274,entrance,1775848274,node,Hamid Olimjon,Mirzo Ulugbek district,0.0,,524633.7960738963,4574078.393596389,60142,0.976139335,16.0214,194.2907,4.7492,524617.899,4574080.386,True
entrance:1775848278,entrance,1775848278,node,Hamid Olimjon,Mirzo Ulugbek district,0.0,,524674.5463647431,4574101.146103984,68957,0.83444992,15.4384,16.1663,3.2073,524668.448,4574115.329,True
entrance:1775848281,entrance,1775848281,node,Hamid Olimjon,Mirzo Ulugbek district,0.0,,524849.0462920382,4574157.482720627,149776,0.685251072,42.7738,123.2906,56.6297,524871.063,4574120.81,True
entrance:1775848285,entrance,1775848285,node,Hamid Olimjon,Mirzo Ulugbek district,0.0,,524832.370937265,4574190.186845988,2718,0.898564954,35.2549,40.4553,4.5668,524862.738,4574208.096,True
entrance:1776779182,entrance,1776779182,node,Toshkent,Mirabad district,0.0,,523932.3154520348,4571189.856675761,38671,0.285000834,0.0,11.458,28.7455,523932.315,4571189.857,True
entrance:1776779183,entrance,1776779183,node,Toshkent,Mirabad district,0.0,,524036.2741168059,4571225.680534383,39376,0.731709333,0.0,18.4753,6.7742,524036.274,4571225.681,True
entrance:1776779187,entrance,1776779187,node,Toshkent,Mirabad district,0.0,,524070.4043470734,4571255.479283082,39375,0.798974858,0.0,26.8224,6.7486,524070.404,4571255.479,True
entrance:1776779190,entrance,1776779190,node,Toshkent,Mirabad district,0.0,,524188.3925001876,4571402.612606138,35324,0.82619547,0.0,52.5754,11.0601,524188.393,4571402.613,True
entrance:1776785654,entrance,1776785654,node,Oybek,Mirabad district,0.0,,523019.8764378605,4571833.092619842,35297,0.863361229,0.0,49.0719,7.7663,523019.876,4571833.093,True
entrance:1777037932,entrance,1777037932,node,,Mirzo Ulugbek district,0.0,,525938.1574299495,4574494.631130389,39381,0.846264955,0.0,15.9842,2.9037,525938.157,4574494.631,True
entrance:1777037936,entrance,1777037936,node,,Mirzo Ulugbek district,0.0,,526133.3154041407,4574584.455528926,39382,0.565857409,0.0,10.8839,8.3504,526133.315,4574584.456,True
entrance:1777037938,entrance,1777037938,node,Buyuk Ipak Yo'li,Mirzo Ulugbek district,0.0,,527404.7863366411,4574974.917344643,39389,0.940438917,0.0,62.7877,3.9766,527404.786,4574974.917,True
entrance:1777037942,entrance,1777037942,node,Buyuk Ipak Yo'li,Mirzo Ulugbek district,0.0,,527604.6290737942,4575013.098381198,39384,0.0,0.0,0.0,8.1279,527604.629,4575013.098,False
entrance:1777037955,entrance,1777037955,node,Buyuk Ipak Yo'li,Mirzo Ulugbek district,0.0,,527615.2910289686,4575057.046400396,39385,0.977618224,0.0,84.6051,1.937,527615.291,4575057.046,True
entrance:1777037960,entrance,1777037960,node,Buyuk Ipak Yo'li,Mirzo Ulugbek district,0.0,,527374.7687333883,4575074.520130465,39390,1.0,0.0,18.8407,0.0,527374.769,4575074.52,False
entrance:1777051513,entrance,1777051513,node,Amir Temur xiyoboni,Mirzo Ulugbek district,0.0,,523587.71536342305,4573389.591404619,39395,0.813443446,0.0,23.8989,5.481,523587.715,4573389.591,True
entrance:1777051516,entrance,1777051516,node,Amir Temur xiyoboni,Yunusabad district,0.0,,523529.62744872243,4573401.4372598035,39396,0.928936603,0.0,54.9086,4.2005,523529.627,4573401.437,True
entrance:1777051522,entrance,1777051522,node,Amir Temur xiyoboni,Mirzo Ulugbek district,0.0,,523659.6417623108,4573456.86838518,39398,0.803665993,0.0,27.2554,6.6584,523659.642,4573456.868,True
entrance:1777051524,entrance,1777051524,node,Amir Temur xiyoboni,Mirzo Ulugbek district,0.0,,523602.0501301051,4573465.517989818,39399,0.0,0.0,0.0,2.8132,523602.05,4573465.518,False
