district_id,district_name,year,metro_state_id,open_station_count,population_modelled_available,population_growth_pct_from_2015,metro_access_population_standardized,metro_access_pct_standardized,metro_access_pct_change_from_2015_pp,population_model_status,population_projection_flag,geography_version
1726266,Yunusabad district,2022,metro_state_43,43,218936.876051,13.459564,38867.098113,17.752650359,4.850400872,modelled_estimate,False,current_12_district_analysis_geometry
1726266,Yunusabad district,2023,metro_state_48,48,223434.296012,15.79026,39672.095659,17.755598119,4.853348631,modelled_estimate,False,current_12_district_analysis_geometry
1726266,Yunusabad district,2024,metro_state_50,50,227968.94713,18.14025,40485.510446,17.759221576,4.856972089,modelled_estimate,False,current_12_district_analysis_geometry
1726266,Yunusabad district,2025,metro_state_50,50,232418.264223,20.446018,41283.709849,17.762678844,4.860429356,modelled_estimate,False,current_12_district_analysis_geometry
1726266,Yunusabad district,2026,metro_state_50,50,236725.192997,22.677996,42059.99608,17.767435543,4.865186055,modelled_estimate,True,current_12_district_analysis_geometry
1726269,Mirzo Ulugbek district,2015,metro_state_29,29,113847.693115,0.0,8135.195855,7.145683529,0.0,modelled_estimate,False,current_12_district_analysis_geometry
1726269,Mirzo Ulugbek district,2016,metro_state_29,29,115850.50557,1.759203,8277.842994,7.145279991,-0.000403538,modelled_estimate,False,current_12_district_analysis_geometry
1726269,Mirzo Ulugbek district,2017,metro_state_29,29,117845.720966,3.511734,8423.792742,7.148153257,0.002469729,modelled_estimate,False,current_12_district_analysis_geometry
1726269,Mirzo Ulugbek district,2018,metro_state_29,29,119843.969458,5.266928,8572.692931,7.153211772,0.007528243,modelled_estimate,False,current_12_district_analysis_geometry
1726269,Mirzo Ulugbek district,2019,metro_state_29,29,121986.331511,7.148707,8728.666658,7.155446475,0.009762946,modelled_estimate,False,current_12_district_analysis_geometry
1726269,Mirzo Ulugbek district,2020,metro_state_43,43,124260.126621,9.145933,8895.459053,7.15873973,0.013056201,modelled_estimate,False,current_12_district_analysis_geometry
1726269,Mirzo Ulugbek district,2021,metro_state_43,43,126630.059706,11.227603,9071.06811,7.163439811,0.017756282,modelled_estimate,False,current_12_district_analysis_geometry
1726269,Mirzo Ulugbek district,2022,metro_state_43,43,129170.201712,13.458778,9261.181031,7.169750382,0.024066853,modelled_estimate,False,current_12_district_analysis_geometry
1726269,Mirzo Ulugbek district,2023,metro_state_48,48,131823.526638,15.78937,9460.164831,7.176385788,0.030702259,modelled_estimate,False,current_12_district_analysis_geometry
1726269,Mirzo Ulugbek district,2024,metro_state_50,50,134498.828864,18.139266,9659.843748,7.182102498,0.036418969,modelled_estimate,False,current_12_district_analysis_geometry
1726269,Mirzo Ulugbek district,2025,metro_state_50,50,137123.73626,20.444897,9854.702743,7.186722745,0.041039216,modelled_estimate,False,current_12_district_analysis_geometry
1726269,Mirzo Ulugbek district,2026,metro_state_50,50,139664.694152,22.676789,10044.581829,7.19192627,0.046242741,modelled_estimate,True,current_12_district_analysis_geometry
